Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Signamax,FA-LC-QX-PB-NF-BE,"OF ADAPTER-LC,QX,MM,PHR-BRZ", $5.50 , $2.56 ,54%, $2.99 ,46%, $3.01 ,US,1 Year
Signamax,FA-LC-QX-PB-NF-BU,"OF ADAPTER-LC,QX,MM,ZRC", $23.30 , $10.83 ,54%, $12.67 ,46%, $12.77 ,US,1 Year
Signamax,FA-LC-QX-PB-NF-GN,"OF ADAPTER-LC,QX,MM,ZRC", $23.30 , $10.83 ,54%, $12.67 ,46%, $12.77 ,US,1 Year
Signamax,FA-MTRJ-B,"MTRJ MM Adapter, Beige", $2.30 , $1.07 ,54%, $1.25 ,46%, $1.26 ,US,1 Year
Signamax,FA-SCD02-A,SC Duplex Adapter OM3, $4.50 , $2.09 ,54%, $2.45 ,46%, $2.47 ,US,1 Year
Signamax,FA-SCD02-B,SC Duplex MM Adapter, $3.40 , $1.58 ,54%, $1.85 ,46%, $1.86 ,US,1 Year
Signamax,FA-SCD03-A,SC Duplex Adapter OM3, $5.00 , $2.33 ,54%, $2.72 ,46%, $2.74 ,US,1 Year
Signamax,FA-SCD04-GN,SC APC Duplex SM Adapter, $5.00 , $2.33 ,54%, $2.72 ,46%, $2.74 ,US,1 Year
Signamax,FA-SC-DX-PB-MF-BE,"OF Adapter - SC, DX, MM, PB,", $3.40 , $1.58 ,54%, $1.85 ,46%, $1.86 ,US,1 Year
Signamax,FA-SC-DX-PB-NF-BE,"OF ADAPTER-SC,DX,MM,PHR-BRZ", $5.50 , $2.56 ,54%, $2.99 ,46%, $3.01 ,US,1 Year
Signamax,FA-SC-DX-ZR-MF-AQ,"OF ADAPTER-SC,DX,MM,ZRC", $5.00 , $2.33 ,54%, $2.72 ,46%, $2.74 ,US,1 Year
